client,flv_ok,bytes,duration_seconds,err
0,true,13,11.591,""
1,true,13,19.238,""
2,true,13,15.405,""
3,true,30742,12.487,""
4,true,13,19.238,""
5,true,13,26.927,""
6,true,13,26.892,""
7,true,1261223,9.990,""
8,true,30742,12.509,""
9,true,13,19.228,""
10,true,13,15.400,""
11,true,13,19.235,""
12,true,13,19.239,""
13,true,13,19.235,""
14,true,13,11.554,""
15,true,1261600,10.009,""
16,true,1261972,10.010,""
17,true,13,11.588,""
18,true,13,15.388,""
19,true,30742,12.522,""
20,true,13,11.581,""
21,false,0,0.000,"Get \"http://127.0.0.1:18081/live/loadtest.flv\": dial tcp 127.0.0.1:18081: i/o timeout"
22,true,30742,12.524,""
23,true,30742,12.510,""
24,true,13,19.216,""
25,true,13,19.221,""
26,true,13,19.225,""
27,true,13,11.569,""
28,true,13,15.384,""
29,true,13,15.404,""
30,true,13,11.537,""
31,true,13,11.615,""
32,true,13,15.443,""
33,true,13,15.443,""
34,true,1261972,10.001,""
35,true,30742,12.523,""
36,true,13,15.388,""
37,true,30742,12.524,""
38,true,13,15.409,""
39,true,30742,12.522,""
40,true,30742,12.521,""
41,true,13,11.561,""
42,true,1261972,10.016,""
43,true,13,11.613,""
44,true,3374500,10.023,""
45,true,30742,12.500,""
46,true,1261600,10.015,""
47,true,1261223,9.994,""
48,true,1261972,10.018,""
49,true,13,11.613,""
50,true,1261972,10.019,""
51,true,13,11.576,""
52,true,13,11.614,""
53,false,0,0.000,"Get \"http://127.0.0.1:18081/live/loadtest.flv\": dial tcp 127.0.0.1:18081: i/o timeout"
54,false,0,0.000,"Get \"http://127.0.0.1:18081/live/loadtest.flv\": dial tcp 127.0.0.1:18081: i/o timeout"
55,true,13,11.614,""
56,true,13,11.585,""
57,true,13,19.271,""
58,false,0,0.000,"Get \"http://127.0.0.1:18081/live/loadtest.flv\": dial tcp 127.0.0.1:18081: i/o timeout"
59,true,13,19.240,""
60,true,13,11.524,""
61,true,30742,12.501,""
62,true,1261972,10.016,""
63,true,30742,12.493,""
64,true,3374500,10.023,""
65,true,30742,12.525,""
66,true,13,11.571,""
67,true,13,15.382,""
68,true,1261223,9.994,""
69,true,30742,12.489,""
70,true,30742,12.509,""
71,true,30742,12.509,""
72,true,13,11.524,""
73,true,1261600,10.025,""
74,true,1261972,10.002,""
75,true,30742,12.491,""
76,true,3374500,10.025,""
77,true,30742,12.520,""
78,true,13,15.443,""
79,true,13,11.565,""
80,true,13,15.386,""
81,true,30742,12.489,""
82,true,30742,12.527,""
83,true,30742,12.507,""
84,true,13,26.919,""
85,true,13,15.422,""
86,false,0,0.000,"Get \"http://127.0.0.1:18081/live/loadtest.flv\": dial tcp 127.0.0.1:18081: i/o timeout"
87,true,13,11.602,""
88,false,0,0.000,"Get \"http://127.0.0.1:18081/live/loadtest.flv\": dial tcp 127.0.0.1:18081: i/o timeout"
89,true,13,15.424,""
90,true,1261600,10.025,""
91,true,13,11.610,""
92,true,3374500,10.025,""
93,true,13,26.891,""
94,true,13,26.903,""
95,true,13,15.426,""
96,true,13,11.554,""
97,true,30742,12.529,""
98,true,13,26.889,""
99,false,0,0.000,"Get \"http://127.0.0.1:18081/live/loadtest.flv\": dial tcp 127.0.0.1:18081: i/o timeout"
100,true,13,26.931,""
101,true,1261600,10.015,""
102,true,1261600,10.010,""
103,true,13,26.888,""
104,false,0,0.000,"Get \"http://127.0.0.1:18081/live/loadtest.flv\": dial tcp 127.0.0.1:18081: i/o timeout"
105,true,13,15.437,""
106,true,13,19.265,""
107,false,0,0.000,"Get \"http://127.0.0.1:18081/live/loadtest.flv\": dial tcp 127.0.0.1:18081: i/o timeout"
108,true,13,26.897,""
109,true,13,15.387,""
110,true,30742,12.520,""
111,true,3374872,10.021,""
112,true,1261223,9.996,""
113,true,13,11.566,""
114,true,3374872,10.003,""
