client,flv_ok,bytes,duration_seconds,err
0,true,370379,11.296,""
1,true,259090,10.373,""
2,true,347295,10.540,""
3,true,96278,10.333,""
4,true,96278,10.619,""
5,true,135472,10.923,""
6,true,544725,10.166,""
7,true,330465,10.965,""
8,true,49063,10.121,""
9,true,613148,10.001,""
10,true,259090,10.508,""
11,true,232771,10.902,""
12,true,79413,10.504,""
13,true,100536,10.196,""
14,true,530843,10.383,""
15,true,530843,10.535,""
16,true,167235,10.928,""
17,true,438246,10.017,""
18,true,259090,10.415,""
19,true,175482,10.639,""
20,true,201008,10.447,""
21,true,424010,10.281,""
22,true,720671,10.007,""
23,true,290726,10.056,""
24,true,195222,10.958,""
25,true,477880,10.577,""
26,true,30742,13.339,""
27,true,259090,10.073,""
28,true,30742,13.348,""
29,true,604261,10.745,""
30,true,96278,10.895,""
31,true,381444,11.002,""
32,true,658644,10.335,""
33,true,175482,10.312,""
34,true,96278,10.902,""
35,true,383157,10.192,""
36,true,315908,10.462,""
37,true,290726,10.409,""
38,true,212722,10.844,""
39,true,136251,10.332,""
40,true,212722,10.133,""
41,true,96278,10.731,""
42,true,383157,10.189,""
43,true,553053,10.216,""
44,true,674914,10.514,""
45,true,223216,10.372,""
46,true,259090,10.404,""
47,true,604261,10.703,""
48,true,149751,9.993,""
49,true,223216,10.454,""
50,true,347295,10.928,""
51,true,212722,10.977,""
52,true,223216,10.473,""
53,true,175482,10.843,""
54,true,93083,10.346,""
55,true,530843,10.399,""
56,true,424010,10.985,""
57,true,398791,11.138,""
58,true,175482,10.475,""
59,true,195222,11.024,""
60,true,135472,10.509,""
61,true,398791,10.976,""
62,true,273894,10.727,""
63,true,49353,10.383,""
64,true,438246,10.016,""
65,true,398791,10.989,""
66,true,233253,10.076,""
67,true,446816,10.693,""
68,true,273894,10.022,""
69,true,645879,10.517,""
70,true,175482,10.861,""
71,true,273894,10.875,""
72,true,135472,10.380,""
73,true,109946,10.236,""
74,true,530843,10.526,""
75,true,93083,10.747,""
76,true,167235,12.300,""
77,true,136251,10.137,""
78,true,330465,10.045,""
79,true,159366,10.587,""
80,true,315908,10.155,""
81,true,544725,10.163,""
82,true,93083,10.979,""
83,true,370379,10.873,""
84,true,158002,10.892,""
85,true,390618,10.906,""
86,true,175482,10.088,""
87,true,93083,10.565,""
88,true,490228,10.476,""
89,true,93083,10.303,""
90,true,79413,10.265,""
91,true,109558,12.879,""
92,true,315908,10.655,""
93,true,398791,10.594,""
94,true,175094,11.113,""
95,true,175482,10.885,""
96,true,779649,10.513,""
97,true,79413,10.929,""
98,true,273894,10.848,""
99,true,338956,10.845,""
100,true,589289,10.377,""
101,true,530843,10.228,""
102,true,477880,10.642,""
103,true,424732,10.105,""
104,true,438246,10.509,""
105,true,370379,10.615,""
106,true,149751,10.912,""
107,true,212722,10.595,""
108,true,477880,10.199,""
109,true,175482,10.219,""
110,true,79413,10.831,""
111,true,398791,10.955,""
112,true,96278,10.605,""
113,true,109558,10.815,""
114,true,330465,10.968,""
115,true,223216,10.404,""
116,true,357052,10.280,""
117,true,438246,10.498,""
118,true,439017,10.104,""
119,true,530843,10.046,""
120,true,149751,10.858,""
121,true,645879,10.093,""
122,true,273894,10.313,""
123,true,281948,10.640,""
124,true,212722,10.166,""
125,true,544725,10.431,""
126,true,259090,10.064,""
127,true,195222,11.180,""
128,true,613148,10.138,""
129,true,347295,10.350,""
130,true,96278,10.725,""
131,true,645879,10.056,""
132,true,100536,10.731,""
133,true,497388,10.036,""
134,true,530843,10.461,""
135,true,477880,10.505,""
136,true,158002,10.534,""
137,true,54605,10.086,""
