client,flv_ok,bytes,duration_seconds,err
0,true,3203010,10.131,""
1,true,3203010,10.023,""
2,true,3046264,10.100,""
3,true,1686955,10.104,""
4,true,3203010,10.035,""
5,true,3203010,10.148,""
6,true,1627627,10.089,""
7,true,3203010,10.129,""
8,true,3193289,9.992,""
9,true,3203010,10.074,""
10,true,3193289,10.006,""
11,true,3193289,9.998,""
12,true,1261223,10.102,""
13,true,2403626,10.181,""
14,true,3203010,10.093,""
15,true,3203010,10.025,""
16,true,3193289,9.999,""
17,true,3203010,10.138,""
18,true,777936,10.112,""
19,true,3203010,10.021,""
20,true,3193289,9.998,""
21,true,3203010,10.141,""
22,true,3203010,10.093,""
23,true,3193289,10.009,""
24,true,1997342,10.218,""
25,true,2018439,10.176,""
26,true,3002749,10.364,""
27,true,3203010,10.094,""
28,true,3193289,9.991,""
29,true,3193289,10.008,""
30,true,1331823,10.100,""
31,true,1422977,10.068,""
32,true,3203010,10.024,""
33,true,3193289,10.008,""
34,true,2308122,10.384,""
35,true,2995458,10.033,""
36,true,3193289,10.253,""
37,true,3203010,10.093,""
38,true,3193289,10.001,""
39,true,2717161,10.014,""
40,true,2731489,10.099,""
41,true,3203010,10.131,""
42,true,3203010,10.025,""
43,true,925907,10.072,""
44,true,1724706,10.777,""
45,true,3170188,10.169,""
46,true,3203010,10.032,""
47,true,3193289,10.008,""
48,true,3203010,10.093,""
49,true,3193289,9.992,""
50,true,3193687,9.991,""
51,true,1176724,10.022,"unexpected EOF"
52,true,3145288,10.017,""
53,true,3193289,9.999,""
54,true,3193289,10.009,""
55,true,3203010,10.091,""
56,true,2195191,10.185,""
57,true,2995458,10.015,""
58,true,3193289,10.004,""
59,true,3193289,9.991,""
60,true,3184278,10.024,""
61,true,3193289,10.009,""
62,true,3193289,10.008,""
63,true,2869013,10.318,""
64,true,3193289,10.236,""
65,true,3203010,10.026,""
66,true,3002749,10.044,""
67,true,3203010,10.029,""
68,true,3203010,10.091,""
69,true,3193289,10.002,""
70,true,2394848,10.387,""
71,true,3193289,10.001,""
72,true,3203010,10.021,""
73,true,3193289,10.000,""
74,true,3203010,10.033,""
75,true,3193289,10.004,""
