n,cpu_avg,cpu_max,goroutines,rss_mb
0,0.45,3.6,11,16.4
64,0.00,0,139,20.7
256,0.23,1.8,523,31.2
1024,1.26,7.7,2059,68.3
4096,4.66,14.2,8203,185.6
