client,flv_ok,connect_ms,window_bytes,max_stall_ms,cv_percent,err
0,true,349.9,109933,24608,93.18,""
1,true,761.5,50512,30914,74.36,""
2,true,494.4,117649,31400,59.02,""
3,true,497.3,32692,28179,87.99,""
4,true,757.6,31504,5367,136.20,"read tcp 127.0.0.1:59365->127.0.0.1:18081: read: connection reset by peer"
5,true,758.0,117248,33997,60.29,""
6,true,761.7,63393,27383,32.12,""
7,true,338.2,18209,20370,86.95,""
8,true,409.6,55220,20678,11.30,""
9,true,414.5,55220,33236,70.78,""
10,true,534.2,5441,19633,31.01,""
11,true,534.6,71552,24800,70.25,""
12,true,528.2,30729,5656,100.00,"read tcp 127.0.0.1:59194->127.0.0.1:18081: read: connection reset by peer"
13,true,409.2,96057,23717,74.86,""
14,true,526.5,56408,25909,65.60,""
15,true,497.0,102505,26480,50.93,""
16,true,750.6,31504,5627,100.00,"read tcp 127.0.0.1:59143->127.0.0.1:18081: read: connection reset by peer"
17,true,751.0,71552,21310,24.72,""
18,true,751.4,32692,35015,128.76,""
19,true,413.7,31504,5967,100.00,"read tcp 127.0.0.1:59095->127.0.0.1:18081: read: connection reset by peer"
20,true,521.5,117248,21649,60.29,""
21,true,522.2,89672,26709,29.73,""
22,true,746.7,4253,28982,22.91,""
23,true,401.5,31504,5970,100.00,"read tcp 127.0.0.1:59024->127.0.0.1:18081: read: connection reset by peer"
24,true,299.4,112739,31672,71.39,""
25,true,1232.3,56408,26704,95.90,""
26,true,1234.4,31504,5140,100.00,"read tcp 127.0.0.1:58961->127.0.0.1:18081: read: connection reset by peer"
27,true,1210.5,240321,27288,112.92,""
28,true,1219.2,239535,21894,90.23,""
29,true,497.1,117248,19786,53.72,""
30,true,497.3,63393,21222,32.12,""
31,true,2175.9,100916,3972,54.82,"read tcp 127.0.0.1:58873->127.0.0.1:18081: read: connection reset by peer"
32,true,1222.8,142209,32855,30.82,""
33,true,1225.1,71552,27361,21.61,""
34,true,1225.8,96265,20716,36.16,""
35,true,1258.9,37444,30406,104.75,""
36,true,1259.5,55220,24680,11.30,""
37,true,500.8,49024,31949,101.96,""
38,true,390.4,117248,28192,26.70,""
39,true,272.3,49024,20004,73.88,""
40,true,266.8,117248,19977,53.67,""
41,true,203.2,71552,29169,21.30,""
42,true,278.9,102505,31056,93.80,""
