client,flv_ok,connect_ms,window_bytes,max_stall_ms,cv_percent,err
0,true,2.8,3471127,118,29.24,""
1,true,2.6,3470736,118,28.06,""
2,true,2.5,3470736,118,29.24,""
3,true,1.8,3471127,119,29.25,""
4,true,1.7,3471127,119,28.01,""
5,true,2.5,3471127,119,28.57,""
6,true,2.3,3471127,119,28.61,""
7,true,2.5,3471127,118,27.17,""
8,true,2.7,3471127,118,28.68,""
9,true,2.1,3471127,119,28.04,""
10,true,1.3,3471127,120,29.41,""
11,true,1.6,3471127,120,27.92,""
12,true,1.9,3471127,119,27.74,""
13,true,2.1,3471127,119,27.75,""
14,true,1.7,3471127,119,28.62,""
15,true,2.0,3471127,119,28.59,""
