client,flv_ok,bytes,duration_seconds,err
0,true,3306330,10.007,""
1,true,3314836,10.015,""
2,true,3314836,10.013,""
3,true,3306677,10.009,""
4,true,3314836,10.016,""
5,true,3306330,10.010,""
6,true,3314836,10.009,""
7,true,3314836,10.008,""
8,true,3306677,10.012,""
9,true,3314836,10.017,""
10,true,3314836,10.012,""
11,true,3314836,10.016,""
12,true,3314836,10.007,""
13,true,3306330,10.010,""
14,true,3306330,10.006,""
15,true,3314836,10.005,""
16,true,3314836,10.015,""
17,true,3306330,10.010,""
18,true,3314836,10.010,""
19,true,3314836,10.014,""
20,true,3306330,10.007,""
21,true,3306330,10.009,""
22,true,3306330,10.008,""
23,true,3314836,10.013,""
24,true,3306330,10.008,""
25,true,3314836,10.005,""
26,true,3306330,10.011,""
27,true,3314836,10.012,""
28,true,3306330,10.010,""
29,true,3314836,10.006,""
30,true,3306330,10.009,""
31,true,3314836,10.012,""
32,true,3306677,10.011,""
33,true,3306330,10.009,""
34,true,3314836,10.012,""
35,true,3314836,10.012,""
36,true,3314836,10.015,""
37,true,3314836,10.007,""
38,true,3306330,10.010,""
39,true,3314836,10.014,""
40,true,3314836,10.007,""
41,true,3314836,10.014,""
42,true,3306677,10.006,""
43,true,3314836,10.014,""
44,true,3314836,10.005,""
45,true,3314836,10.014,""
46,true,3314836,10.015,""
47,true,3300987,10.015,""
48,true,3306330,10.008,""
49,true,3306330,10.011,""
50,true,3314836,10.009,""
51,true,3306330,10.009,""
52,true,3306330,10.011,""
53,true,3306330,10.011,""
54,true,3314836,10.017,""
55,true,3306330,10.012,""
56,true,3314836,10.016,""
57,true,3306330,10.009,""
58,true,3306677,10.011,""
59,true,3306677,10.008,""
60,true,3314836,10.009,""
61,true,3314836,10.016,""
62,true,3314836,10.015,""
63,true,3314836,10.016,""
64,true,3314836,10.016,""
65,true,3306330,10.007,""
66,true,3314836,10.016,""
67,true,3314836,10.006,""
68,true,3306330,10.005,""
69,true,3314836,10.015,""
70,true,3306330,10.005,""
71,true,3306330,10.009,""
72,true,3314836,10.006,""
73,true,3306330,10.009,""
74,true,3314836,10.014,""
75,true,3306330,10.005,""
76,true,3306677,10.005,""
77,true,3306677,10.009,""
78,true,3314836,10.014,""
79,true,3314836,10.013,""
80,true,3306677,10.009,""
81,true,3314836,10.013,""
82,true,3314836,10.014,""
83,true,3306330,10.008,""
84,true,3314836,10.013,""
85,true,3306330,10.009,""
86,true,3306330,10.008,""
87,true,3314836,10.014,""
88,true,3314836,10.010,""
89,true,3314836,10.005,""
90,true,3306330,10.005,""
91,true,3306330,10.007,""
92,true,3306677,10.007,""
93,true,3314836,10.010,""
94,true,3314836,10.016,""
95,true,3314836,10.014,""
96,true,3314836,10.007,""
97,true,3306677,10.009,""
98,true,3314836,10.016,""
99,true,3314836,10.016,""
100,true,3314836,10.016,""
101,true,3314836,10.017,""
102,true,3314836,10.016,""
103,true,3314836,10.007,""
104,true,3314836,10.008,""
105,true,3314836,10.015,""
106,true,3314836,10.007,""
107,true,3314836,10.008,""
108,true,3314836,10.017,""
109,true,3306330,10.009,""
110,true,3306330,10.011,""
111,true,3314836,10.016,""
112,true,3314836,10.016,""
113,true,3306330,10.010,""
114,true,3314836,10.016,""
115,true,3314836,10.009,""
116,true,3314836,10.009,""
117,true,3314836,10.017,""
118,true,3314836,10.016,""
119,true,3306330,10.009,""
120,true,3306677,10.011,""
121,true,3314836,10.015,""
122,true,3314836,10.016,""
123,true,3306677,10.011,""
124,true,3306677,10.006,""
125,true,3314836,10.017,""
126,true,3314836,10.016,""
127,true,3306330,10.011,""
128,true,3314836,10.016,""
129,true,3314836,10.017,""
130,true,3314836,10.016,""
131,true,3314836,10.015,""
132,true,3306330,10.008,""
133,true,3306677,10.008,""
134,true,3314836,10.011,""
135,true,3306330,10.011,""
136,true,3314836,10.008,""
137,true,3306330,10.010,""
138,true,3314836,10.017,""
139,true,3306330,10.012,""
140,true,3314836,10.008,""
141,true,3314836,10.017,""
142,true,3314836,10.007,""
143,true,3314836,10.017,""
144,true,3314836,10.007,""
145,true,3314836,10.016,""
146,true,3306677,10.009,""
147,true,3314836,10.016,""
148,true,3306330,10.010,""
149,true,3306330,10.010,""
150,true,3314836,10.016,""
151,true,3314836,10.015,""
152,true,3306330,10.006,""
153,true,3306330,10.007,""
154,true,3306330,10.008,""
155,true,3314836,10.008,""
156,true,3314836,10.015,""
157,true,3314873,10.016,""
158,true,3314836,10.011,""
159,true,3306330,10.009,""
160,true,3314836,10.015,""
161,true,3306677,10.006,""
162,true,3306330,10.010,""
163,true,3306330,10.011,""
164,true,3306330,10.009,""
165,true,3306330,10.012,""
166,true,3314836,10.008,""
167,true,3306330,10.010,""
168,true,3314836,10.006,""
169,true,3314836,10.017,""
170,true,3306330,10.008,""
171,true,3314836,10.015,""
172,true,3314836,10.007,""
173,true,3314836,10.006,""
174,true,3314836,10.007,""
175,true,3314836,10.009,""
176,true,3306330,10.010,""
177,true,3306330,10.009,""
178,true,3314836,10.007,""
179,true,3314836,10.009,""
180,true,3306330,10.010,""
181,true,3306330,10.012,""
182,true,3306330,10.012,""
183,true,3314836,10.016,""
184,true,3306330,10.009,""
185,true,3314836,10.016,""
186,true,3314836,10.007,""
187,true,3314836,10.007,""
188,true,3306330,10.011,""
189,true,3314836,10.016,""
190,true,3306677,10.012,""
191,true,3314836,10.007,""
192,true,3314836,10.015,""
193,true,3314836,10.009,""
194,true,3314836,10.016,""
195,true,3314836,10.017,""
196,true,3306330,10.012,""
197,true,3314836,10.012,""
198,true,3306330,10.007,""
199,true,3314836,10.007,""
200,true,3314836,10.016,""
201,true,3306330,10.011,""
202,true,3314836,10.017,""
203,true,3314836,10.016,""
204,true,3314836,10.007,""
205,true,3314836,10.007,""
206,true,3314836,10.016,""
207,true,3306330,10.009,""
208,true,3306677,10.013,""
209,true,3306330,10.012,""
210,true,3306330,10.010,""
211,true,3314836,10.017,""
212,true,3314836,10.007,""
213,true,3314836,10.016,""
214,true,3306330,10.008,""
215,true,3306330,10.010,""
216,true,3314836,10.016,""
217,true,3314836,10.016,""
218,true,3314836,10.016,""
219,true,3314836,10.016,""
220,true,3306330,10.010,""
221,true,3314836,10.008,""
222,true,3306330,10.008,""
223,true,3306330,10.010,""
224,true,3314836,10.007,""
225,true,3314836,10.006,""
226,true,3314836,10.007,""
227,true,3314836,10.004,""
228,true,3314836,10.006,""
229,true,3306330,10.008,""
230,true,3314836,10.015,""
231,true,3306330,10.010,""
232,true,3314836,10.016,""
233,true,3306330,10.010,""
234,true,3306330,10.012,""
235,true,3306330,10.012,""
236,true,3306330,10.009,""
237,true,3314836,10.007,""
238,true,3306330,10.009,""
239,true,3314836,10.017,""
240,true,3314836,10.015,""
241,true,3314836,10.015,""
242,true,3314836,10.015,""
243,true,3306330,10.011,""
244,true,3314836,10.017,""
245,true,3306330,10.012,""
246,true,3306330,10.007,""
247,true,3314836,10.017,""
248,true,3314836,10.017,""
249,true,3314836,10.016,""
250,true,3314836,10.016,""
251,true,3306330,10.006,""
252,true,3306677,10.009,""
253,true,3314836,10.012,""
254,true,3314836,10.016,""
255,true,3314836,10.016,""
AGGREGATE,,total_bytes=847723532,elapsed=10.017,
