client,flv_ok,connect_ms,window_bytes,max_stall_ms,cv_percent,err
0,true,3.4,3445116,152,26.34,""
1,true,4.4,3445116,152,25.54,""
2,true,6.4,3445116,149,26.15,""
3,true,5.0,3445547,151,26.39,""
4,true,5.0,3445116,150,26.29,""
5,true,4.7,3445116,151,26.30,""
6,true,7.0,3445116,149,25.76,""
7,true,10.8,3445116,144,25.36,""
8,true,10.5,3445547,145,25.83,""
9,true,10.4,3445547,146,27.50,""
10,true,9.9,3445547,147,25.84,""
11,true,9.4,3445547,147,26.41,""
12,true,11.1,3445547,144,26.27,""
13,true,10.8,3445547,145,25.79,""
14,true,10.3,3445116,145,26.33,""
15,true,10.0,3445116,146,26.12,""
16,true,9.6,3445547,145,26.30,""
17,true,9.1,3445116,146,24.76,""
18,true,9.0,3445547,146,25.81,""
19,true,8.3,3445547,147,26.38,""
20,true,7.9,3445116,147,25.64,""
21,true,7.2,3445116,148,25.83,""
22,true,11.6,3445116,144,25.86,""
23,true,8.4,3445547,147,25.75,""
24,true,7.8,3445116,147,25.64,""
25,true,8.5,3445116,146,26.15,""
26,true,7.4,3445116,149,27.36,""
27,true,8.8,3445116,148,25.76,""
28,true,6.1,3445116,150,26.21,""
29,true,6.6,3445116,150,25.76,""
30,true,4.3,3445547,151,25.20,""
31,true,6.3,3445116,148,26.62,""
32,true,2.8,3445547,152,27.10,""
33,true,12.9,3445116,143,25.56,""
34,true,5.2,3445116,151,25.89,""
35,true,11.3,3445116,143,26.32,""
36,true,8.2,3445116,147,25.02,""
37,true,11.9,3445547,143,26.11,""
38,true,13.1,3445116,143,25.40,""
39,true,12.8,3445547,142,26.14,""
40,true,12.4,3445116,144,25.21,""
41,true,12.2,3445547,144,26.35,""
42,true,13.0,3445116,142,25.91,""
43,true,4.2,3445116,151,26.34,""
44,true,12.8,3445116,144,26.34,""
45,true,12.3,3445547,143,25.69,""
46,true,11.7,3445547,144,26.29,""
47,true,11.5,3445116,144,26.12,""
48,true,12.5,3445116,144,26.03,""
49,true,12.0,3445116,144,25.41,""
50,true,10.6,3445547,146,26.37,""
51,true,11.4,3445547,144,25.88,""
52,true,5.3,3445547,150,26.63,""
53,true,9.1,3445547,146,25.76,""
54,true,8.8,3445116,146,26.31,""
55,true,5.8,3445116,150,26.65,""
56,true,7.4,3445116,149,26.24,""
57,true,11.0,3445547,144,26.14,""
58,true,9.8,3445116,147,26.62,""
59,true,9.5,3445547,147,26.39,""
60,true,10.2,3445547,145,26.56,""
61,true,7.7,3445547,147,25.89,""
62,true,6.8,3445547,149,25.71,""
63,true,3.2,3445116,152,27.12,""
