client,flv_ok,bytes,duration_seconds,err
0,true,3410296,10.021,""
1,true,3409921,10.021,""
2,true,3409536,10.001,""
3,true,3409921,10.022,""
4,true,3409921,10.022,""
5,true,3409536,10.001,""
6,true,3410296,10.021,""
7,true,3409921,10.022,""
8,true,3409536,10.001,""
9,true,3410296,10.021,""
10,true,3409536,10.000,""
11,true,3409536,10.001,""
12,true,3409536,10.000,""
13,true,3409921,10.021,""
14,true,3409536,10.000,""
15,true,3409921,10.022,""
16,true,3409536,10.000,""
17,true,3409921,10.022,""
18,true,3410296,10.021,""
19,true,3409536,10.001,""
20,true,3409536,10.001,""
21,true,3409536,10.000,""
22,true,3409921,10.022,""
23,true,3409921,10.022,""
24,true,3410296,10.021,""
25,true,3409536,10.000,""
26,true,3410296,10.021,""
27,true,3409921,10.022,""
28,true,3409536,10.001,""
29,true,3409921,10.022,""
30,true,3409921,10.022,""
31,true,3409536,10.000,""
32,true,3409921,10.022,""
33,true,3409921,10.022,""
34,true,3410296,10.021,""
35,true,3410296,10.021,""
36,true,3410296,10.021,""
37,true,3410296,10.021,""
38,true,3409921,10.022,""
39,true,3410296,10.021,""
40,true,3409921,10.022,""
41,true,3409921,10.022,""
42,true,3409536,10.000,""
43,true,3409536,10.001,""
44,true,3409921,10.022,""
45,true,3409921,10.022,""
46,true,3409536,10.000,""
47,true,3409536,10.000,""
48,true,3410296,10.021,""
49,true,3409921,10.022,""
50,true,3409536,10.000,""
51,true,3409921,10.021,""
52,true,3409921,10.022,""
53,true,3410296,10.021,""
54,true,3409921,10.022,""
55,true,3409536,10.000,""
56,true,3409921,10.022,""
57,true,3409921,10.022,""
58,true,3409921,10.022,""
59,true,3409921,10.021,""
60,true,3410296,10.021,""
61,true,3409921,10.022,""
62,true,3409921,10.022,""
63,true,3410296,10.021,""
AGGREGATE,,total_bytes=218232869,elapsed=10.022,
