client,flv_ok,connect_ms,window_bytes,max_stall_ms,cv_percent,err
0,true,92.7,3493586,108,23.18,""
1,true,121.8,3493586,84,23.34,""
2,true,130.6,3493586,89,25.41,""
3,true,94.7,3493586,103,29.18,""
4,true,92.8,3493586,107,26.56,""
5,true,93.6,3484963,102,26.00,""
6,true,93.9,3493586,104,25.49,""
7,true,94.1,3493586,109,26.32,""
8,true,120.8,3493586,89,26.37,""
9,true,74.3,3493586,121,22.54,""
10,true,97.7,3493586,103,26.72,""
11,true,99.4,3493586,100,26.69,""
12,true,119.9,3493586,120,24.18,""
13,true,72.7,3493586,123,26.82,""
14,true,90.7,3484963,106,27.85,""
15,true,68.9,3493586,133,25.62,""
16,true,78.7,3493586,111,23.89,""
17,true,74.7,3493586,126,21.98,""
18,true,98.2,3493586,104,26.40,""
19,true,95.5,3493586,92,24.32,""
20,true,98.4,3493586,101,27.11,""
21,true,99.0,3493586,101,26.47,""
22,true,120.2,3493586,89,26.39,""
23,true,120.0,3493586,85,27.39,""
24,true,120.0,3484963,112,25.91,""
25,true,120.1,3493586,82,27.07,""
26,true,93.2,3484963,101,24.22,""
27,true,47.3,3484963,159,26.96,""
28,true,46.7,3493586,145,26.60,""
29,true,46.0,3493586,143,22.24,""
30,true,48.1,3493586,152,26.24,""
31,true,138.3,3493586,82,24.98,""
32,true,95.9,3493586,98,25.16,""
33,true,133.6,3493586,90,24.47,""
34,true,132.2,3484963,84,24.13,""
35,true,112.9,3493586,87,23.84,""
36,true,87.1,3484963,106,23.41,""
37,true,39.8,3493586,151,29.80,""
38,true,58.6,3493586,134,25.15,""
39,true,132.1,3493586,82,25.49,""
40,true,47.9,3484963,149,27.93,""
41,true,115.3,3493586,89,24.98,""
42,true,46.1,3493586,152,26.64,""
43,true,132.8,3484963,88,24.01,""
44,true,133.3,3493586,105,23.47,""
45,true,112.5,3484963,81,24.55,""
46,true,112.7,3493586,91,26.19,""
47,true,109.4,3493586,91,27.07,""
48,true,108.5,3493586,89,24.98,""
49,true,94.0,3493586,109,25.27,""
50,true,94.2,3493586,103,26.84,""
51,true,60.5,3493586,132,28.24,""
52,true,38.6,3493586,153,25.71,""
53,true,59.7,3493586,137,24.02,""
54,true,27.0,3493586,173,25.53,""
55,true,110.3,3484963,89,23.69,""
56,true,112.0,3493586,89,27.78,""
57,true,87.6,3493586,115,25.07,""
58,true,91.7,3493586,108,27.93,""
59,true,60.0,3493586,139,24.51,""
60,true,132.1,3493586,88,27.20,""
61,true,62.3,3493586,132,23.04,""
62,true,139.3,3493586,81,23.07,""
63,true,138.8,3493586,89,25.36,""
64,true,63.5,3493586,127,23.23,""
65,true,114.6,3493586,85,24.48,""
66,true,91.8,3493586,107,27.22,""
67,true,60.3,3493586,132,27.18,""
68,true,98.5,3493586,107,26.78,""
69,true,46.1,3493586,148,25.66,""
70,true,63.9,3493586,127,24.72,""
71,true,64.7,3493586,139,27.74,""
72,true,113.4,3493586,85,27.10,""
73,true,99.8,3493586,107,25.02,""
74,true,61.6,3493586,136,23.73,""
75,true,121.8,3493586,78,26.26,""
76,true,122.1,3493586,91,24.22,""
77,true,60.5,3493586,136,26.29,""
78,true,123.7,3493586,88,24.42,""
79,true,121.3,3493586,82,25.76,""
80,true,98.6,3484963,91,22.40,""
81,true,93.8,3493586,111,25.96,""
82,true,123.2,3493586,86,25.53,""
83,true,122.7,3493586,86,25.32,""
84,true,64.8,3493586,124,25.03,""
85,true,71.9,3484963,117,25.71,""
86,true,97.2,3493586,92,25.14,""
87,true,76.6,3493586,123,22.85,""
88,true,91.5,3484963,100,25.33,""
89,true,91.9,3493586,96,24.58,""
90,true,91.8,3493586,105,26.44,""
91,true,63.3,3493586,130,26.59,""
92,true,87.7,3493586,115,24.62,""
93,true,73.8,3493586,119,22.69,""
94,true,137.7,3484963,91,26.26,""
95,true,114.9,3484963,86,25.41,""
96,true,121.6,3493586,124,24.51,""
97,true,49.0,3493586,155,25.83,""
98,true,65.3,3493586,139,27.66,""
99,true,54.6,3493586,146,28.00,""
100,true,121.6,3484963,89,24.59,""
101,true,89.3,3493586,112,26.05,""
102,true,39.8,3493586,169,22.98,""
103,true,115.0,3493586,126,26.67,""
104,true,38.1,3493586,155,27.38,""
105,true,38.7,3493586,160,25.15,""
106,true,34.0,3493586,166,27.21,""
107,true,34.5,3493586,164,26.96,""
108,true,34.2,3493586,172,25.42,""
109,true,34.6,3493586,173,27.77,""
110,true,34.4,3493586,173,25.87,""
111,true,34.9,3493586,159,27.32,""
112,true,35.6,3493586,161,22.88,""
113,true,37.0,3493586,166,22.61,""
114,true,37.1,3493586,164,24.60,""
115,true,26.6,3493586,170,27.49,""
116,true,25.4,3493586,179,25.96,""
117,true,28.3,3493586,175,26.04,""
118,true,28.6,3484963,168,26.80,""
119,true,23.4,3493586,176,27.32,""
120,true,51.7,3493586,147,25.53,""
121,true,53.7,3484963,150,24.44,""
122,true,114.4,3484963,83,25.62,""
123,true,67.7,3484963,137,28.54,""
124,true,51.1,3493586,143,25.82,""
125,true,55.0,3484963,143,26.90,""
126,true,50.6,3493586,152,23.69,""
127,true,120.4,3493586,87,23.21,""
128,true,138.8,3493586,85,24.80,""
129,true,50.3,3493586,144,24.87,""
130,true,50.4,3493586,149,27.23,""
131,true,118.0,3493586,83,23.32,""
132,true,79.2,3493586,127,23.09,""
133,true,102.0,3493586,90,27.61,""
134,true,50.0,3493586,158,25.08,""
135,true,117.3,3493586,89,24.67,""
136,true,68.1,3493586,134,27.49,""
137,true,54.5,3493586,150,25.91,""
138,true,88.2,3493586,127,25.32,""
139,true,88.8,3493586,115,25.99,""
140,true,87.1,3493586,125,25.19,""
141,true,89.1,3493586,113,24.15,""
142,true,37.9,3493586,168,25.55,""
143,true,38.3,3493586,158,26.49,""
144,true,34.2,3493586,168,27.39,""
145,true,34.8,3493586,158,25.26,""
146,true,35.6,3484963,171,27.34,""
147,true,35.8,3493586,161,28.22,""
148,true,42.0,3484963,156,22.96,""
149,true,67.8,3493586,133,27.23,""
150,true,51.7,3484963,158,23.93,""
151,true,116.4,3493586,90,25.67,""
152,true,114.9,3493586,88,23.14,""
153,true,139.0,3493586,88,25.14,""
154,true,120.3,3493586,86,26.69,""
155,true,66.4,3493586,137,29.67,""
156,true,87.5,3493586,109,24.10,""
157,true,117.0,3493586,88,24.94,""
158,true,120.7,3493586,87,26.63,""
159,true,138.6,3493586,89,24.05,""
160,true,69.6,3493586,135,25.88,""
161,true,99.1,3493586,101,24.84,""
162,true,66.8,3493586,143,25.27,""
163,true,97.1,3493586,112,24.64,""
164,true,79.4,3484963,130,27.38,""
165,true,69.3,3493586,137,26.42,""
166,true,65.0,3493586,134,27.43,""
167,true,99.8,3493586,98,25.02,""
168,true,118.8,3493586,87,26.31,""
169,true,77.7,3484963,126,26.89,""
170,true,104.9,3493586,105,22.10,""
171,true,65.3,3493586,131,27.07,""
172,true,51.7,3493586,148,22.62,""
173,true,51.9,3493586,151,25.93,""
174,true,64.1,3493586,137,26.38,""
175,true,90.9,3493586,116,24.88,""
176,true,64.6,3493586,131,28.34,""
177,true,100.1,3493586,105,24.12,""
178,true,99.7,3493586,88,28.65,""
179,true,121.0,3493586,88,28.25,""
180,true,121.0,3493586,90,25.66,""
181,true,121.0,3493586,126,25.87,""
182,true,115.3,3493586,112,25.12,""
183,true,121.1,3484963,89,27.15,""
184,true,47.5,3493586,155,22.30,""
185,true,121.2,3493586,89,23.67,""
186,true,80.6,3484963,114,26.61,""
187,true,110.9,3484963,88,27.08,""
188,true,76.7,3484963,114,26.37,""
189,true,109.7,3493586,84,27.19,""
190,true,100.0,3493586,105,26.21,""
191,true,37.2,3493586,162,27.39,""
192,true,121.0,3484963,88,23.92,""
193,true,51.1,3493586,145,29.05,""
194,true,50.9,3493586,147,23.76,""
195,true,50.6,3484963,153,26.81,""
196,true,94.7,3484963,98,23.91,""
197,true,70.6,3493586,132,26.98,""
198,true,114.9,3493586,86,26.63,""
199,true,117.5,3493586,92,26.97,""
200,true,120.1,3493586,113,24.20,""
201,true,137.6,3493586,119,25.59,""
202,true,138.3,3493586,89,25.04,""
203,true,53.9,3484963,149,26.29,""
204,true,138.9,3493586,85,26.66,""
205,true,55.2,3493586,150,27.74,""
206,true,64.2,3493586,134,26.63,""
207,true,46.1,3484963,150,26.26,""
208,true,47.0,3493586,146,25.13,""
209,true,66.8,3493586,128,24.94,""
210,true,137.9,3484963,104,24.74,""
211,true,36.5,3493586,155,22.89,""
212,true,60.4,3493586,134,26.80,""
213,true,60.2,3484963,140,23.86,""
214,true,60.3,3484963,137,23.03,""
215,true,84.2,3484963,109,26.65,""
216,true,85.2,3493586,126,26.06,""
217,true,63.6,3493586,134,27.98,""
218,true,80.7,3493586,121,21.06,""
219,true,47.8,3493586,151,23.60,""
220,true,47.8,3493586,151,28.46,""
221,true,91.8,3493586,111,24.61,""
222,true,70.5,3493586,125,27.24,""
223,true,72.4,3493586,122,25.52,""
224,true,139.2,3493586,81,24.14,""
225,true,114.0,3493586,104,22.50,""
226,true,115.8,3493586,90,27.95,""
227,true,62.7,3493586,132,22.15,""
228,true,115.7,3493586,89,28.22,""
229,true,116.3,3493586,104,27.20,""
230,true,115.4,3484963,86,25.49,""
231,true,62.7,3493586,129,25.95,""
232,true,115.4,3493586,91,22.46,""
233,true,114.7,3493586,92,25.00,""
234,true,117.4,3484963,89,25.09,""
235,true,46.7,3484963,152,25.58,""
236,true,45.6,3484963,143,23.55,""
237,true,45.3,3493586,151,23.93,""
238,true,49.3,3493586,143,24.78,""
239,true,37.1,3493586,155,27.38,""
240,true,111.4,3493586,88,22.28,""
241,true,100.5,3493586,94,25.08,""
242,true,92.4,3493586,111,25.03,""
243,true,112.6,3493586,86,28.82,""
244,true,111.8,3493586,126,24.15,""
245,true,113.6,3493586,104,27.00,""
246,true,60.2,3484963,141,24.68,""
247,true,132.9,3493586,82,25.36,""
248,true,64.7,3493586,126,22.21,""
249,true,121.2,3484963,92,23.37,""
250,true,95.9,3493586,109,23.95,""
251,true,111.6,3484963,90,23.55,""
252,true,111.2,3493586,88,24.98,""
253,true,113.0,3493586,90,24.32,""
