client,flv_ok,bytes,duration_seconds,err
0,true,3374500,10.026,""
1,true,3374500,10.025,""
2,true,3374500,10.020,""
3,true,3374500,10.024,""
4,true,3374872,10.018,""
5,true,3374500,10.021,""
6,true,3374500,10.023,""
7,true,3374500,10.024,""
8,true,3374872,10.017,""
9,true,3374500,10.019,""
10,true,3374500,10.020,""
11,true,3374500,10.023,""
12,true,3374500,10.023,""
13,true,3374500,10.023,""
14,true,3374872,10.020,""
15,true,3374500,10.026,""
16,true,3374500,10.022,""
17,true,3374500,10.022,""
18,true,3374872,10.019,""
19,true,3374500,10.018,""
20,true,3374500,10.019,""
21,true,3374500,10.022,""
22,true,3374500,10.019,""
23,true,3374500,10.020,""
24,true,3374872,10.020,""
25,true,3374500,10.017,""
26,true,3374500,10.022,""
27,true,3374500,10.025,""
28,true,3374500,10.017,""
29,true,3374500,10.022,""
30,true,3374500,10.025,""
31,true,3374500,10.019,""
32,true,3374500,10.018,""
33,true,3374500,10.021,""
34,true,3374500,10.021,""
35,true,3374500,10.025,""
36,true,3374500,10.021,""
37,true,3374500,10.023,""
38,true,3374500,10.021,""
39,true,3374500,10.020,""
40,true,3374872,10.018,""
41,true,3374500,10.022,""
42,true,3374500,10.024,""
43,true,3374500,10.020,""
44,true,3374500,10.019,""
45,true,3374500,10.024,""
46,true,3374500,10.025,""
47,true,3374500,10.025,""
48,true,3374500,10.025,""
49,true,3374500,10.025,""
50,true,3374500,10.021,""
51,true,3374500,10.020,""
52,true,3374500,10.019,""
53,true,3374500,10.020,""
54,true,3374500,10.022,""
55,true,3374500,10.022,""
56,true,3374500,10.023,""
57,true,3374500,10.019,""
58,true,3374500,10.023,""
59,true,3374872,10.017,""
60,true,3374500,10.022,""
61,true,3374500,10.022,""
62,true,3374500,10.023,""
63,true,3374500,10.023,""
64,true,3374500,10.022,""
65,true,3374500,10.019,""
66,true,3374872,10.018,""
67,true,3374872,10.019,""
68,true,3374500,10.022,""
69,true,3374500,10.021,""
70,true,3374500,10.025,""
71,true,3374500,10.023,""
72,true,3374500,10.023,""
73,true,3374500,10.021,""
